nohup: ignoring input
npm warn exec The following package was not found and will be installed: serve@14.2.5
 INFO  Accepting connections at http://localhost:51408
 HTTP  12/28/2025 1:59:27 PM ::1 GET /
 HTTP  12/28/2025 1:59:27 PM ::1 Returned 200 in 7 ms
 HTTP  12/28/2025 1:59:27 PM ::1 GET /
 HTTP  12/28/2025 1:59:27 PM ::1 Returned 304 in 0 ms
 HTTP  12/28/2025 1:59:27 PM ::1 GET /assets/index-Caaq3jB4.js
 HTTP  12/28/2025 1:59:27 PM ::1 GET /assets/index-CJKxeOeQ.css
 HTTP  12/28/2025 1:59:27 PM ::1 Returned 200 in 1 ms
 HTTP  12/28/2025 1:59:27 PM ::1 Returned 200 in 3 ms
 HTTP  12/28/2025 1:59:33 PM ::1 GET /
 HTTP  12/28/2025 1:59:33 PM ::1 Returned 304 in 0 ms
 HTTP  12/28/2025 1:59:33 PM ::1 GET /assets/index-Caaq3jB4.js
 HTTP  12/28/2025 1:59:33 PM ::1 Returned 304 in 1 ms
 HTTP  12/28/2025 1:59:33 PM ::1 GET /assets/index-CJKxeOeQ.css
 HTTP  12/28/2025 1:59:33 PM ::1 Returned 304 in 0 ms
 HTTP  12/28/2025 1:59:50 PM 172.64.151.146 HEAD /
 HTTP  12/28/2025 1:59:50 PM 172.64.151.146 Returned 200 in 0 ms
 HTTP  12/28/2025 1:59:50 PM 172.64.151.146 GET /
 HTTP  12/28/2025 1:59:50 PM 172.64.151.146 Returned 200 in 1 ms
 HTTP  12/28/2025 1:59:50 PM 172.64.151.146 GET /
 HTTP  12/28/2025 1:59:50 PM 172.64.151.146 Returned 304 in 1 ms
 HTTP  12/28/2025 1:59:51 PM 172.64.151.146 GET /
 HTTP  12/28/2025 1:59:51 PM 172.64.151.146 Returned 200 in 1 ms
 HTTP  12/28/2025 1:59:51 PM 172.64.151.146 GET /
 HTTP  12/28/2025 1:59:51 PM 172.64.151.146 Returned 304 in 0 ms
 HTTP  12/28/2025 1:59:51 PM 172.64.151.146 GET /assets/index-Caaq3jB4.js
 HTTP  12/28/2025 1:59:51 PM 172.64.151.146 GET /assets/index-CJKxeOeQ.css
 HTTP  12/28/2025 1:59:51 PM 172.64.151.146 Returned 200 in 1 ms
 HTTP  12/28/2025 1:59:51 PM 172.64.151.146 Returned 200 in 1 ms
 HTTP  12/28/2025 1:59:51 PM 172.64.151.146 GET /assets/index-CJKxeOeQ.css
 HTTP  12/28/2025 1:59:51 PM 172.64.151.146 Returned 304 in 1 ms
 HTTP  12/28/2025 1:59:51 PM 172.64.151.146 GET /assets/index-Caaq3jB4.js
 HTTP  12/28/2025 1:59:51 PM 172.64.151.146 Returned 304 in 0 ms
 HTTP  12/28/2025 2:00:00 PM 172.64.151.146 HEAD /
 HTTP  12/28/2025 2:00:00 PM 172.64.151.146 Returned 304 in 0 ms
 HTTP  12/28/2025 2:00:11 PM 172.64.151.146 HEAD /
 HTTP  12/28/2025 2:00:11 PM 172.64.151.146 Returned 304 in 0 ms
 HTTP  12/28/2025 2:00:21 PM 172.64.151.146 HEAD /
 HTTP  12/28/2025 2:00:21 PM 172.64.151.146 Returned 304 in 0 ms
 HTTP  12/28/2025 2:03:08 PM 172.64.151.146 HEAD /
 HTTP  12/28/2025 2:03:08 PM 172.64.151.146 Returned 304 in 0 ms
 HTTP  12/28/2025 2:03:18 PM 172.64.151.146 HEAD /
 HTTP  12/28/2025 2:03:18 PM 172.64.151.146 Returned 304 in 0 ms
 HTTP  12/28/2025 2:03:28 PM 172.64.151.146 HEAD /
 HTTP  12/28/2025 2:03:28 PM 172.64.151.146 Returned 304 in 0 ms
 HTTP  12/28/2025 2:03:38 PM 172.64.151.146 HEAD /
 HTTP  12/28/2025 2:03:38 PM 172.64.151.146 Returned 304 in 0 ms
 HTTP  12/28/2025 2:03:48 PM 172.64.151.146 HEAD /
 HTTP  12/28/2025 2:03:48 PM 172.64.151.146 Returned 304 in 1 ms
 HTTP  12/28/2025 2:03:59 PM 172.64.151.146 HEAD /
 HTTP  12/28/2025 2:03:59 PM 172.64.151.146 Returned 304 in 0 ms
 HTTP  12/28/2025 2:04:09 PM 172.64.151.146 HEAD /
 HTTP  12/28/2025 2:04:09 PM 172.64.151.146 Returned 304 in 0 ms
 HTTP  12/28/2025 2:04:19 PM 172.64.151.146 HEAD /
 HTTP  12/28/2025 2:04:19 PM 172.64.151.146 Returned 304 in 0 ms
